id,days_since_creation,score,viewcount,favoritecount,commentcount,reputation_user
12838370,4501.0,5,,,1,470180.0
12838371,4501.0,1,,,0,1664.0
12838372,4501.0,4,4038.0,0.0,0,1514.0
12838373,4501.0,4,969.0,0.0,0,7796.0
12838374,4501.0,0,,,0,293.0
12838375,4501.0,3,16559.0,0.0,2,2112.0
12838376,4501.0,1,193.0,0.0,1,11861.0
12838377,4501.0,0,,,0,19406.0
12838378,4501.0,2,,,0,21.0
12838379,4501.0,22,6315.0,0.0,0,15222.0
12838381,4501.0,0,,,0,565.0
12838383,4501.0,2,210.0,0.0,0,2019.0
12838384,4501.0,0,104.0,,0,49.0
12838385,4501.0,0,,,4,14515.0
12838386,4501.0,0,,,3,4578.0
12838387,4501.0,0,783.0,0.0,0,549.0
12838389,4501.0,1,,,0,421.0
12838390,4501.0,1,,,0,1075.0
12838391,4501.0,9,617.0,0.0,3,1321.0
12838392,4501.0,2,,,2,57633.0
12838393,4501.0,1,,,0,77.0
12838395,4501.0,0,,,1,32942.0
12838396,4501.0,2,,,3,74678.0
12838403,4501.0,3,25150.0,0.0,2,354.0
12838404,4501.0,2,,,0,2956.0
12838405,4501.0,0,,,0,15309.0
12838407,4501.0,3,2921.0,,3,1590.0
12838408,4501.0,4,4213.0,0.0,2,294.0
12838409,4501.0,3,,,0,39438.0
12838411,4501.0,5,,,2,172816.0
12838413,4501.0,0,,,0,666.0
12838414,4501.0,0,,,0,31089.0
12838415,4501.0,0,,,1,6834.0
12838416,4501.0,0,2309.0,,1,223.0
12838417,4501.0,0,,,1,511.0
12838418,4501.0,1,,,1,7104.0
12838419,4501.0,3,5148.0,0.0,3,4101.0
12838420,4501.0,0,,,2,160183.0
12838421,4501.0,0,124.0,,6,7226.0
12838422,4501.0,1,,,0,4129.0
12838423,4501.0,0,,,0,469.0
12838424,4501.0,0,,,0,1307.0
12838425,4501.0,5,10509.0,,0,577.0
12838426,,0,,,1,456.0
12838427,4501.0,5,,,12,433071.0
12838428,4501.0,1,1424.0,,2,1082.0
12838429,4501.0,0,,,0,521.0
12838431,4501.0,3,938.0,,1,43.0
12838432,4501.0,1,,,0,159924.0
12838433,4501.0,2,655.0,,1,21.0
12838434,4501.0,0,1015.0,,0,6686.0
12838435,4501.0,2,,,0,1351.0
12838436,4501.0,2,,,0,3431.0
12838438,4501.0,2,,,0,1040.0
12838441,4501.0,0,,,0,13073.0
12838442,4501.0,4,3700.0,,0,249.0
12838443,4501.0,4,3769.0,0.0,3,1034.0
12838444,4501.0,1,,,1,28239.0
12838445,4501.0,0,,,0,34.0
12838446,4501.0,-1,,,2,3148.0
12838447,4501.0,0,,,0,49.0
12838448,4501.0,0,,,2,75746.0
12838450,4501.0,3,,,0,219.0
12838452,4501.0,0,,,0,4387.0
12838454,4501.0,0,,,2,5542.0
12838455,4501.0,0,,,1,38118.0
12838456,4501.0,3,,,1,54142.0
12838457,4501.0,0,261.0,,5,4836.0
12838458,4501.0,0,,,0,10575.0
12838459,4501.0,4,8101.0,0.0,3,98.0
12838462,4501.0,0,,,0,705.0
12838464,4501.0,-1,,,0,1.0
12838465,4501.0,-1,,,0,6834.0
12838466,4501.0,4,586.0,,0,782.0
12838467,,4,,,1,149660.0
12838469,4501.0,2,,,0,167.0
12838470,4501.0,4,,,0,1031352.0
12838471,4501.0,22,,,4,56100.0
12838472,4501.0,-4,55.0,,2,9.0
12838473,4501.0,4,4242.0,0.0,0,903.0
